variant_id,method,configuration_id,cohorts,environment_groups,scheduled,alert,no_alert,abstain,failed,decision_coverage,unknown_truth,positive_TPR_n,positive_TPR_alert,positive_TPR_no_alert,positive_TPR_abstain,positive_TPR_failed,positive_TPR_rate,positive_TPR_decision_coverage,positive_TPR_status,clean_pre_FPR_n,clean_pre_FPR_alert,clean_pre_FPR_no_alert,clean_pre_FPR_abstain,clean_pre_FPR_failed,clean_pre_FPR_rate,clean_pre_FPR_decision_coverage,clean_pre_FPR_status,clean_post_FPR_n,clean_post_FPR_alert,clean_post_FPR_no_alert,clean_post_FPR_abstain,clean_post_FPR_failed,clean_post_FPR_rate,clean_post_FPR_decision_coverage,clean_post_FPR_status,primary_control_mid_FPR_n,primary_control_mid_FPR_alert,primary_control_mid_FPR_no_alert,primary_control_mid_FPR_abstain,primary_control_mid_FPR_failed,primary_control_mid_FPR_rate,primary_control_mid_FPR_decision_coverage,primary_control_mid_FPR_status,verified_negative_all_n,verified_negative_all_alert,verified_negative_all_no_alert,verified_negative_all_abstain,verified_negative_all_failed,verified_negative_all_rate,verified_negative_all_decision_coverage,verified_negative_all_status,triplet_n,success_010,rate_010,triplets_with_abstention,triplets_with_failure,attack_alert_triplets,recovered_after_alert,mean_attack_minus_pre,mean_post_minus_pre
final_v3_v2:App177:SRC-111,final_v3_v2,cdp_ua_platform_desktop_v1,admitted_attack_triplet,env-003,9,0,9,0,0,1.0,0,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,6,0,6,0,0,0.0,1.0,COMPLETE,3,0,0.0,0,0,0,0,0,0
final_v3_v2:App177:SRC-111,final_v3_v2,cdp_webdriver_only_v1,admitted_attack_triplet,env-003,9,0,9,0,0,1.0,0,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,6,0,6,0,0,0.0,1.0,COMPLETE,3,0,0.0,0,0,0,0,0,0
final_v3_v2:App177:SRC-111,final_v3_v2,stealth_languages_only_v1,admitted_attack_triplet,env-003,9,0,9,0,0,1.0,0,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,6,0,6,0,0,0.0,1.0,COMPLETE,3,0,0.0,0,0,0,0,0,0
final_v3_v2:App177:SRC-111,final_v3_v2,stealth_plugins_mime_v1,admitted_attack_triplet,env-003,9,0,9,0,0,1.0,0,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,6,0,6,0,0,0.0,1.0,COMPLETE,3,0,0.0,0,0,0,0,0,0
final_v3_v2:App177:SRC-111,final_v3_v2,stealth_webgl_pair_v1,admitted_attack_triplet,env-003,9,0,9,0,0,1.0,0,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,6,0,6,0,0,0.0,1.0,COMPLETE,3,0,0.0,0,0,0,0,0,0
final_v3_v2:App177:SRC-111,final_v3_v2,w6-tool-054-legacy-default-v1,admitted_attack_triplet,env-003,9,0,9,0,0,1.0,0,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,6,0,6,0,0,0.0,1.0,COMPLETE,3,0,0.0,0,0,0,0,0,0
final_v3_v2:App177:SRC-111,final_v3_v2,w6-tool-055-legacy-default-v1,admitted_attack_triplet,env-001,9,0,9,0,0,1.0,0,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,3,0,3,0,0,0.0,1.0,COMPLETE,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,6,0,6,0,0,0.0,1.0,COMPLETE,3,0,0.0,0,0,0,0,0,0
final_v3_v2:App177:SRC-111,final_v3_v2,w6-tool-056-legacy-default-v1,admitted_attack_triplet,env-001;env-002;env-003,27,0,27,0,0,1.0,0,9,0,9,0,0,0.0,1.0,COMPLETE,9,0,9,0,0,0.0,1.0,COMPLETE,9,0,9,0,0,0.0,1.0,COMPLETE,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,18,0,18,0,0,0.0,1.0,COMPLETE,9,0,0.0,0,0,0,0,0,0
final_v3_v2:App177:SRC-111,final_v3_v2,w6-tool-058-legacy-default-v1,admitted_attack_triplet,env-001;env-002;env-003,27,0,27,0,0,1.0,0,9,0,9,0,0,0.0,1.0,COMPLETE,9,0,9,0,0,0.0,1.0,COMPLETE,9,0,9,0,0,0.0,1.0,COMPLETE,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,18,0,18,0,0,0.0,1.0,COMPLETE,9,0,0.0,0,0,0,0,0,0
legacy19_v2:App177:SRC-111,legacy19_v2,CONTROL:20260823_api30_no_attack_temporal_v6,temporal_control_unknown,env-001,9,0,9,0,0,1.0,9,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,0,0,0,0,0,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,0,0,,0,0,0,0,,
