row_index,session_id,consistency_native_web_model_ua_strength,consistency_native_web_model_ua_match,consistency_native_web_android_version_match,consistency_native_web_android_version_delta,consistency_native_web_screen_width_error_ratio,consistency_native_web_screen_height_error_ratio,consistency_native_web_screen_max_error_ratio,consistency_native_web_screen_score,consistency_native_web_screen_consistent_10pct,consistency_native_web_cpu_platform_match,consistency_native_web_cpu_platform_known,consistency_native_web_gpu_family_score,consistency_native_web_gpu_family_match,consistency_native_web_gpu_software_or_desktop,consistency_native_web_touch_mobile_match,consistency_native_web_memory_delta_gb,consistency_native_web_memory_score,consistency_native_web_desktop_or_bot_ua,consistency_native_webview_agent_model_match,consistency_native_webview_agent_android_version_match,consistency_native_webview_agent_android_version_delta,consistency_native_webview_bridge_injected,consistency_native_webview_package_expected,consistency_native_webview_installer_official_like,consistency_native_webview_installer_manual,consistency_native_webview_debug_cleartext_tension,consistency_webview_web_chrome_major_match,consistency_webview_web_chrome_major_delta,consistency_webview_web_ua_has_wv_token,consistency_webview_web_bridge_mobile_runtime_match,consistency_webview_web_non_browser_ua,consistency_tri_layer_core_integrity_pass,consistency_tri_layer_sensor_bridge_fail,consistency_tri_layer_manual_timezone_or_adb,consistency_tri_layer_adb_full_battery_signal,consistency_tri_layer_official_installer_core_pass,consistency_tri_layer_mean_match_score,consistency_tri_layer_failure_count,llm_label.risk_score
729,8d916288-c3d6-4eef-be1f-20f12c11590b,1.0,1.0,1.0,0.0,0.0,0.114723641430562,0.114723641430562,0.42638179284719,0.0,1.0,1.0,0.85,1.0,0.0,1.0,0.5975456237792969,0.8506135940551758,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.8793969654745316,2.0,42
730,d72ec13b-e4db-4d74-bd0e-d2f833f4b8cb,1.0,1.0,1.0,0.0,0.001388888888888889,0.08241324921135647,0.08241324921135647,0.5879337539432177,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.7431716918945312,0.8142070770263672,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7646556256572029,2.0,42
731,abd9a5b8-a270-4278-ac95-ace7c366dbf7,1.0,1.0,1.0,0.0,0.0,0.08112662493981704,0.08112662493981704,0.5943668753009148,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,3.325824737548828,0.16854381561279297,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7657278125501525,2.0,45
732,b8542555-fa26-463f-a2ba-045945bb1bef,1.0,1.0,1.0,0.0,0.0020161290322580645,0.10665869218500798,0.10665869218500798,0.4667065390749602,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.864418029785156,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9111177565124934,2.0,42
733,33d833e5-afa7-454b-a4bc-a023d95460cb,1.0,1.0,1.0,0.0,0.0026041666666666665,0.08559322033898305,0.08559322033898305,0.5720338983050848,1.0,1.0,1.0,0.85,1.0,0.0,1.0,0.2830238342285156,0.9292440414428711,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9036723163841808,1.0,45
734,71f29de9-6457-4986-b610-c5304822e892,1.0,1.0,1.0,0.0,0.001388888888888889,0.08928571428571429,0.08928571428571429,0.5535714285714286,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.5748939514160156,0.8562765121459961,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7589285714285715,2.0,45
735,d8764e01-1440-4367-9cf6-8d7bce36ee10,1.0,1.0,1.0,0.0,0.0020161290322580645,0.10665869218500798,0.10665869218500798,0.4667065390749602,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.864418029785156,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9111177565124934,2.0,42
736,13d52440-70f6-427f-b499-d05f53a53391,1.0,1.0,1.0,0.0,0.001388888888888889,0.10481830726770928,0.10481830726770928,0.47590846366145356,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.3547210693359375,0.6613197326660156,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9126514106102422,2.0,45
737,7e0909a5-4dfa-4ea4-bb74-9e2f27792266,1.0,1.0,1.0,0.0,0.0006944444444444445,0.10277905374368397,0.10277905374368397,0.48610473128158016,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.435760498046875,0.8910598754882812,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9143507885469301,2.0,42
738,9b094533-6e39-4e27-954b-1240ecfb6be2,1.0,1.0,1.0,0.0,0.0006944444444444445,0.10277905374368397,0.10277905374368397,0.48610473128158016,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.43477630615234375,0.8913059234619141,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9143507885469301,2.0,42
