mae,rmse,r2,high_risk_precision,high_risk_recall,high_risk_f1,high_risk_accuracy,experiment_type,config_id,config_name,fold,feature_count,train_size,test_size,train_group_count,test_group_count
12.59529351182771,21.619748131022476,0.30370072111082524,0.0,0.0,0.0,0.7815126050420168,consistency,native_web_consistency,Native-Web consistency,1,18,847,476,100,45
16.52678992840005,28.95861822467275,-0.03238741124432121,0.0,0.0,0.0,0.789587852494577,consistency,native_web_consistency,Native-Web consistency,2,18,862,461,95,50
9.078157660034865,14.770767991389395,0.736268182460726,1.0,1.0,1.0,1.0,consistency,native_web_consistency,Native-Web consistency,3,18,937,386,95,50
3.033794193474845,5.40413934176485,0.9564941395917452,1.0,1.0,1.0,1.0,consistency,native_webview_consistency,Native-WebView consistency,1,8,847,476,100,45
2.6200387306388504,4.177301618487009,0.978517802855349,1.0,1.0,1.0,1.0,consistency,native_webview_consistency,Native-WebView consistency,2,8,862,461,95,50
2.169806197800803,3.6414366463368353,0.9839711674635054,1.0,1.0,1.0,1.0,consistency,native_webview_consistency,Native-WebView consistency,3,8,937,386,95,50
8.239740211535233,10.30224279909265,0.8418903974297672,1.0,1.0,1.0,1.0,consistency,webview_web_consistency,WebView-Web consistency,1,5,847,476,100,45
8.13961578455396,11.694038913288377,0.8316488456284974,1.0,1.0,1.0,1.0,consistency,webview_web_consistency,WebView-Web consistency,2,5,862,461,95,50
6.997540783472841,9.462414535108179,0.8917668459588579,1.0,1.0,1.0,1.0,consistency,webview_web_consistency,WebView-Web consistency,3,5,937,386,95,50
1.737122106627881,2.376585720512709,0.9915860165800711,1.0,1.0,1.0,1.0,consistency,tri_layer_semantic,Tri-layer semantic,1,7,847,476,100,45
2.8755402593719515,4.757641679337628,0.9721342658398862,1.0,1.0,1.0,1.0,consistency,tri_layer_semantic,Tri-layer semantic,2,7,862,461,95,50
2.2317207758676347,2.9401068159670833,0.9895508108126018,1.0,1.0,1.0,1.0,consistency,tri_layer_semantic,Tri-layer semantic,3,7,937,386,95,50
