source_type,group_id,rows,fold,risk_score_mean,sample_model,sample_installer,sample_ua
physical_device,physical_device::04909fd3a0,2,1,15.0,LNA-AL00,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 12; LNA-AL00 Build/HUAWEILNA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36"
physical_device,physical_device::096a0286d0,2,2,15.0,24129RT7CC,com.miui.packageinstaller,"Mozilla/5.0 (Linux; Android 16; 24129RT7CC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36"
physical_device,physical_device::0d11823f25,2,1,15.0,V2163A,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 14; V2163A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36"
physical_device,physical_device::1059929ab1,2,2,15.0,24129PN74C,com.miui.packageinstaller,"Mozilla/5.0 (Linux; Android 16; 24129PN74C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/145.0.7632.159 Mobile Safari/537.36"
physical_device,physical_device::221dae5d81,2,3,15.0,REA-AN00,com.tencent.mtt,"Mozilla/5.0 (Linux; Android 15; REA-AN00 Build/HONORREA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36"
physical_device,physical_device::390a072df6,2,3,15.0,PLY110,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 16; PLY110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36"
physical_device,physical_device::3a514f9228,2,1,15.0,OCE-AN50,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 12; OCE-AN50 Build/HUAWEIOCE-AN50; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36"
physical_device,physical_device::5c3f962bcc,2,2,15.0,2407FRK8EC,com.miui.packageinstaller,"Mozilla/5.0 (Linux; Android 16; 2407FRK8EC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.34 Mobile Safari/537.36"
physical_device,physical_device::a931f63d47,2,1,15.0,PLA110,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 16; PLA110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36"
physical_device,physical_device::d3f308485e,2,3,15.0,V2359A,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 16; V2359A Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/145.0.7632.120 Mobile Safari/537.36"
physical_device,physical_device::f45dea1230,2,2,15.0,SM-S9180,com.samsung.android.packageinstaller,"Mozilla/5.0 (Linux; Android 16; SM-S9180 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.135 Mobile Safari/537.36"
physical_device,physical_device::06880e183f,1,3,15.0,BRQ-AN00,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 12; BRQ-AN00 Build/HUAWEIBRQ-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36"
physical_device,physical_device::433512efce,1,1,15.0,ELS-AN00,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 12; ELS-AN00 Build/HUAWEIELS-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36"
physical_device,physical_device::46de44366b,1,2,15.0,PGT-AN00,com.tencent.mtt,"Mozilla/5.0 (Linux; Android 16; PGT-AN00 Build/HONORPGT-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36"
physical_device,physical_device::50967ff908,1,3,15.0,ANY-AN00,cn.wps.moffice_eng,"Mozilla/5.0 (Linux; Android 13; ANY-AN00 Build/HONORANY-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.4844.88 Mobile Safari/537.36"
physical_device,physical_device::c2515f2f11,1,1,15.0,SM-W9023,com.samsung.android.packageinstaller,"Mozilla/5.0 (Linux; Android 14; SM-W9023 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36"
script_attack,script_attack::api_replay,104,1,93.1826923076923,,,python-requests/2.25.1
script_attack,script_attack::headless_pc,99,3,96.18181818181819,Windows PC Fake,com.android.packageinstaller,Mozilla/5.0 (Windows NT 10.0; Win64; x64) HeadlessChrome/120.0.0.0 Safari/537.36
script_attack,script_attack::cheap_emulator,97,2,96.20618556701031,Unknown,manual,Mozilla/5.0 (Linux; Android 13) AppleWebKit/537.36 Chrome/114.0.0.0 Mobile Safari/537.36
