experiment_id,protocol_digest,split_id,method_id,operating_point,source_condition,input_view,evaluation_track,data_origin,model_unit_id,fit_job_id,fold_id,train_membership_digest,model_id,train_membership_ref,original_model_ref,original_training_ref,catalog,fixed_control,total,unfitted_numeric,encoded_atom_n,registered_literal_n,eligible_literal_n,selected_atoms,selected_clauses,complexity,model_status,fit_status,stop,outcome_category,train_candidate_availability,availability_counting
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-72ebee654baa2baecddd499a,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67/training.json,5,16,48,27,49,98,68,6,6,12,FITTED,HEURISTIC_FEASIBLE,max_additions,FITTED_FROM_SUPPORTED_POOL,"{""attack"": {""F"": 581, ""FAILED"": 0, ""T"": 1609, ""U"": 15, ""coverage"": {""denominator"": 2205, ""numerator"": 2190, ""status"": ""OK"", ""value"": 0.9931972789115646}, ""defined"": 2190, ""expected"": 2205}, ""clean_post"": {""F"": 531, ""FAILED"": 0, ""T"": 1674, ""U"": 0, ""coverage"": {""denominator"": 2205, ""numerator"": 2205, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 2205, ""expected"": 2205}, ""clean_pre"": {""F"": 533, ""FAILED"": 0, ""T"": 1672, ""U"": 0, ""coverage"": {""denominator"": 2205, ""numerator"": 2205, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 2205, ""expected"": 2205}}","Each encoded atom once, POSITIVE support only; no full outer candidate recomputation."
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,host26,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__host26,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__host26,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-3b72b7237ab996c6e9731f64,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__host26,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__host26/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__host26/training.json,5,17,29,7,31,62,34,0,0,0,EMPTY_MODEL,HEURISTIC_NO_FEASIBLE_MODEL_FOUND_EMPTY_MODEL,no_positive_objective_improvement,NONEMPTY_POOL_NO_FEASIBLE_MODEL_FOUND_BY_GREEDY,"{""attack"": {""F"": 410, ""FAILED"": 0, ""T"": 985, ""U"": 0, ""coverage"": {""denominator"": 1395, ""numerator"": 1395, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 1395, ""expected"": 1395}, ""clean_post"": {""F"": 432, ""FAILED"": 0, ""T"": 963, ""U"": 0, ""coverage"": {""denominator"": 1395, ""numerator"": 1395, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 1395, ""expected"": 1395}, ""clean_pre"": {""F"": 432, ""FAILED"": 0, ""T"": 963, ""U"": 0, ""coverage"": {""denominator"": 1395, ""numerator"": 1395, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 1395, ""expected"": 1395}}","Each encoded atom once, POSITIVE support only; no full outer candidate recomputation."
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,native84,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__native84,R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__native84,LOEO-v1-01,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,r03-4e8db0d13d9d30932f529ff1,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__native84,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__native84/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__native84/training.json,18,20,66,28,73,146,82,0,0,0,EMPTY_MODEL,HEURISTIC_NO_FEASIBLE_MODEL_FOUND_EMPTY_MODEL,no_positive_objective_improvement,NONEMPTY_POOL_NO_FEASIBLE_MODEL_FOUND_BY_GREEDY,"{""attack"": {""F"": 552, ""FAILED"": 0, ""T"": 2643, ""U"": 90, ""coverage"": {""denominator"": 3285, ""numerator"": 3195, ""status"": ""OK"", ""value"": 0.9726027397260274}, ""defined"": 3195, ""expected"": 3285}, ""clean_post"": {""F"": 551, ""FAILED"": 0, ""T"": 2644, ""U"": 90, ""coverage"": {""denominator"": 3285, ""numerator"": 3195, ""status"": ""OK"", ""value"": 0.9726027397260274}, ""defined"": 3195, ""expected"": 3285}, ""clean_pre"": {""F"": 545, ""FAILED"": 0, ""T"": 2650, ""U"": 90, ""coverage"": {""denominator"": 3285, ""numerator"": 3195, ""status"": ""OK"", ""value"": 0.9726027397260274}, ""defined"": 3195, ""expected"": 3285}}","Each encoded atom once, POSITIVE support only; no full outer candidate recomputation."
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-02,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,r03-4d84d2da75641777abb9ca64,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__app_web67/training.json,5,16,48,27,49,98,69,6,6,12,FITTED,HEURISTIC_FEASIBLE,max_additions,FITTED_FROM_SUPPORTED_POOL,"{""attack"": {""F"": 629, ""FAILED"": 0, ""T"": 1705, ""U"": 18, ""coverage"": {""denominator"": 2352, ""numerator"": 2334, ""status"": ""OK"", ""value"": 0.9923469387755102}, ""defined"": 2334, ""expected"": 2352}, ""clean_post"": {""F"": 579, ""FAILED"": 0, ""T"": 1773, ""U"": 0, ""coverage"": {""denominator"": 2352, ""numerator"": 2352, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 2352, ""expected"": 2352}, ""clean_pre"": {""F"": 581, ""FAILED"": 0, ""T"": 1771, ""U"": 0, ""coverage"": {""denominator"": 2352, ""numerator"": 2352, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 2352, ""expected"": 2352}}","Each encoded atom once, POSITIVE support only; no full outer candidate recomputation."
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,host26,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__host26,R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__host26,LOEO-v1-02,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,r03-550c0c8d0ce80f356f455c8e,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__host26,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__host26/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__host26/training.json,5,17,29,7,31,62,34,0,0,0,EMPTY_MODEL,HEURISTIC_NO_FEASIBLE_MODEL_FOUND_EMPTY_MODEL,no_positive_objective_improvement,NONEMPTY_POOL_NO_FEASIBLE_MODEL_FOUND_BY_GREEDY,"{""attack"": {""F"": 438, ""FAILED"": 0, ""T"": 1050, ""U"": 0, ""coverage"": {""denominator"": 1488, ""numerator"": 1488, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 1488, ""expected"": 1488}, ""clean_post"": {""F"": 461, ""FAILED"": 0, ""T"": 1027, ""U"": 0, ""coverage"": {""denominator"": 1488, ""numerator"": 1488, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 1488, ""expected"": 1488}, ""clean_pre"": {""F"": 464, ""FAILED"": 0, ""T"": 1024, ""U"": 0, ""coverage"": {""denominator"": 1488, ""numerator"": 1488, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 1488, ""expected"": 1488}}","Each encoded atom once, POSITIVE support only; no full outer candidate recomputation."
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,native84,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__native84,R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__native84,LOEO-v1-02,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,r03-b787316a502ef7a0a8a0ec3b,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__native84,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__native84/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__native84/training.json,18,20,66,28,73,146,82,0,0,0,EMPTY_MODEL,HEURISTIC_NO_FEASIBLE_MODEL_FOUND_EMPTY_MODEL,no_positive_objective_improvement,NONEMPTY_POOL_NO_FEASIBLE_MODEL_FOUND_BY_GREEDY,"{""attack"": {""F"": 571, ""FAILED"": 0, ""T"": 2837, ""U"": 96, ""coverage"": {""denominator"": 3504, ""numerator"": 3408, ""status"": ""OK"", ""value"": 0.9726027397260274}, ""defined"": 3408, ""expected"": 3504}, ""clean_post"": {""F"": 573, ""FAILED"": 0, ""T"": 2835, ""U"": 96, ""coverage"": {""denominator"": 3504, ""numerator"": 3408, ""status"": ""OK"", ""value"": 0.9726027397260274}, ""defined"": 3408, ""expected"": 3504}, ""clean_pre"": {""F"": 557, ""FAILED"": 0, ""T"": 2851, ""U"": 96, ""coverage"": {""denominator"": 3504, ""numerator"": 3408, ""status"": ""OK"", ""value"": 0.9726027397260274}, ""defined"": 3408, ""expected"": 3504}}","Each encoded atom once, POSITIVE support only; no full outer candidate recomputation."
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,app_web67,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67,R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67,LOEO-v1-03,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,r03-de41c87a2bdd0477fc419b12,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67/training.json,5,16,48,27,56,112,74,1,1,2,FITTED,HEURISTIC_FEASIBLE,no_positive_objective_improvement,FITTED_FROM_SUPPORTED_POOL,"{""attack"": {""F"": 260, ""FAILED"": 0, ""T"": 571, ""U"": 9, ""coverage"": {""denominator"": 840, ""numerator"": 831, ""status"": ""OK"", ""value"": 0.9892857142857143}, ""defined"": 831, ""expected"": 840}, ""clean_post"": {""F"": 228, ""FAILED"": 0, ""T"": 612, ""U"": 0, ""coverage"": {""denominator"": 840, ""numerator"": 840, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 840, ""expected"": 840}, ""clean_pre"": {""F"": 230, ""FAILED"": 0, ""T"": 610, ""U"": 0, ""coverage"": {""denominator"": 840, ""numerator"": 840, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 840, ""expected"": 840}}","Each encoded atom once, POSITIVE support only; no full outer candidate recomputation."
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,host26,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__host26,R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__host26,LOEO-v1-03,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,r03-c1b5e2c7bc159fd4ec8f39d6,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__host26,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__host26/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__host26/training.json,5,17,29,7,33,66,38,0,0,0,EMPTY_MODEL,HEURISTIC_NO_FEASIBLE_MODEL_FOUND_EMPTY_MODEL,no_positive_objective_improvement,NONEMPTY_POOL_NO_FEASIBLE_MODEL_FOUND_BY_GREEDY,"{""attack"": {""F"": 152, ""FAILED"": 0, ""T"": 343, ""U"": 0, ""coverage"": {""denominator"": 495, ""numerator"": 495, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 495, ""expected"": 495}, ""clean_post"": {""F"": 158, ""FAILED"": 0, ""T"": 337, ""U"": 0, ""coverage"": {""denominator"": 495, ""numerator"": 495, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 495, ""expected"": 495}, ""clean_pre"": {""F"": 149, ""FAILED"": 0, ""T"": 346, ""U"": 0, ""coverage"": {""denominator"": 495, ""numerator"": 495, ""status"": ""OK"", ""value"": 1.0}, ""defined"": 495, ""expected"": 495}}","Each encoded atom once, POSITIVE support only; no full outer candidate recomputation."
R07_SINGLE_SURFACE_REFIT,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,LOEO-v1,GREEDY_OR,OP05,SRC-111,native84,LOEO-v1,R02_FIXED_CACHE,R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__native84,R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__native84,LOEO-v1-03,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,r03-a2563a27db70ee2e1e6fc5c7,expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__native84,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__native84/model.json,/Users/xavier/毕业设计/RBA-Cross-Device-Fingerprint/hybridguard_agent/artifacts/discriminative_rule_learning_v1_20260924/R07_representation/dispatch/jobs/R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__native84/training.json,18,20,66,28,76,152,87,0,0,0,EMPTY_MODEL,HEURISTIC_NO_FEASIBLE_MODEL_FOUND_EMPTY_MODEL,no_positive_objective_improvement,NONEMPTY_POOL_NO_FEASIBLE_MODEL_FOUND_BY_GREEDY,"{""attack"": {""F"": 196, ""FAILED"": 0, ""T"": 914, ""U"": 30, ""coverage"": {""denominator"": 1140, ""numerator"": 1110, ""status"": ""OK"", ""value"": 0.9736842105263158}, ""defined"": 1110, ""expected"": 1140}, ""clean_post"": {""F"": 198, ""FAILED"": 0, ""T"": 912, ""U"": 30, ""coverage"": {""denominator"": 1140, ""numerator"": 1110, ""status"": ""OK"", ""value"": 0.9736842105263158}, ""defined"": 1110, ""expected"": 1140}, ""clean_pre"": {""F"": 195, ""FAILED"": 0, ""T"": 915, ""U"": 30, ""coverage"": {""denominator"": 1140, ""numerator"": 1110, ""status"": ""OK"", ""value"": 0.9736842105263158}, ""defined"": 1110, ""expected"": 1140}}","Each encoded atom once, POSITIVE support only; no full outer candidate recomputation."
