data_origin,evaluation_track,experiment_id,input_view,method_id,operating_point,protocol_digest,source_condition,split_id,comparison_role,new_fit_jobs,reference_model_units,model_statuses,complexity_by_fold,selected_clauses_by_fold,model_ids,train_membership_refs,MacroTPR_config_environment_numerator,MacroTPR_config_environment_denominator,MacroTPR_config_environment_expected_denominator,MacroTPR_config_environment_value,MacroTPR_config_environment_status,abstention_rate_numerator,abstention_rate_denominator,abstention_rate_expected_denominator,abstention_rate_value,abstention_rate_status,atom_coverage_numerator,atom_coverage_denominator,atom_coverage_expected_denominator,atom_coverage_value,atom_coverage_status,attack_tpr_numerator,attack_tpr_denominator,attack_tpr_expected_denominator,attack_tpr_value,attack_tpr_status,clause_coverage_numerator,clause_coverage_denominator,clause_coverage_expected_denominator,clause_coverage_value,clause_coverage_status,clean_alarm_rate_numerator,clean_alarm_rate_denominator,clean_alarm_rate_expected_denominator,clean_alarm_rate_value,clean_alarm_rate_status,conditional_recovery_numerator,conditional_recovery_denominator,conditional_recovery_expected_denominator,conditional_recovery_value,conditional_recovery_status,decided_clean_alarm_rate_numerator,decided_clean_alarm_rate_denominator,decided_clean_alarm_rate_expected_denominator,decided_clean_alarm_rate_value,decided_clean_alarm_rate_status,decision_coverage_numerator,decision_coverage_denominator,decision_coverage_expected_denominator,decision_coverage_value,decision_coverage_status,exact_FTF_numerator,exact_FTF_denominator,exact_FTF_expected_denominator,exact_FTF_value,exact_FTF_status,failure_rate_numerator,failure_rate_denominator,failure_rate_expected_denominator,failure_rate_value,failure_rate_status,post_alarm_rate_numerator,post_alarm_rate_denominator,post_alarm_rate_expected_denominator,post_alarm_rate_value,post_alarm_rate_status,pre_alarm_rate_numerator,pre_alarm_rate_denominator,pre_alarm_rate_expected_denominator,pre_alarm_rate_value,pre_alarm_rate_status
R02_FIXED_CACHE,LOEO-v1,R07_SINGLE_SURFACE_REFIT,app_web67,GREEDY_OR,OP05,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,SRC-111,LOEO-v1,R07_SINGLE_SURFACE_REFIT,3,0,"{""FITTED"": 3}","{""LOEO-v1-01"": 12, ""LOEO-v1-02"": 12, ""LOEO-v1-03"": 2}","{""LOEO-v1-01"": [{""literals"": [{""atom_id"": ""CAT:NW-006"", ""polarity"": ""POSITIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.automation_surface_layer.mime_types_count:LE:0.0"", ""polarity"": ""NEGATIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.automation_surface_layer.webdriver:EQ:True"", ""polarity"": ""POSITIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.execution_layer.timezone_offset:LE:0.0"", ""polarity"": ""NEGATIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.navigator_layer.device_memory:LE:2.0"", ""polarity"": ""NEGATIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.navigator_layer.languages:LE:1.0"", ""polarity"": ""NEGATIVE""}]}], ""LOEO-v1-02"": [{""literals"": [{""atom_id"": ""CAT:NW-006"", ""polarity"": ""POSITIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.automation_surface_layer.mime_types_count:LE:0.0"", ""polarity"": ""NEGATIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.automation_surface_layer.webdriver:EQ:True"", ""polarity"": ""POSITIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.execution_layer.timezone_offset:LE:0.0"", ""polarity"": ""NEGATIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.navigator_layer.device_memory:LE:2.0"", ""polarity"": ""NEGATIVE""}]}, {""literals"": [{""atom_id"": ""CONTROL:app.web_data.navigator_layer.languages:LE:1.0"", ""polarity"": ""NEGATIVE""}]}], ""LOEO-v1-03"": [{""literals"": [{""atom_id"": ""CONTROL:app.web_data.navigator_layer.hardware_concurrency:LE:4.0"", ""polarity"": ""NEGATIVE""}]}]}","[""r03-72ebee654baa2baecddd499a"", ""r03-4d84d2da75641777abb9ca64"", ""r03-de41c87a2bdd0477fc419b12""]","[""expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__app_web67"", ""expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__app_web67"", ""expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__app_web67""]",5.0,14,14,0.35714285714285715,OK,0,162,162,0.0,OK,387,387,387,1.0,OK,27,54,54,0.5,OK,387,387,387,1.0,OK,0,108,108,0.0,OK,27,27,27,1.0,OK,0,108,108,0.0,OK,162,162,162,1.0,OK,27,54,54,0.5,OK,0,162,162,0.0,OK,0,54,54,0.0,OK,0,54,54,0.0,OK
R02_FIXED_CACHE,LOEO-v1,R07_SINGLE_SURFACE_REFIT,host26,GREEDY_OR,OP05,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,SRC-111,LOEO-v1,R07_SINGLE_SURFACE_REFIT,3,0,"{""EMPTY_MODEL"": 3}","{""LOEO-v1-01"": 0, ""LOEO-v1-02"": 0, ""LOEO-v1-03"": 0}","{""LOEO-v1-01"": [], ""LOEO-v1-02"": [], ""LOEO-v1-03"": []}","[""r03-3b72b7237ab996c6e9731f64"", ""r03-550c0c8d0ce80f356f455c8e"", ""r03-c1b5e2c7bc159fd4ec8f39d6""]","[""expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__host26"", ""expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__host26"", ""expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__host26""]",0.0,14,14,0.0,OK,162,162,162,1.0,OK,0,0,0,,NOT_EVALUABLE,0,54,54,0.0,OK,0,0,0,,NOT_EVALUABLE,0,108,108,0.0,OK,0,0,0,,NOT_EVALUABLE,0,0,0,,NOT_EVALUABLE,0,162,162,0.0,OK,0,54,54,0.0,OK,0,162,162,0.0,OK,0,54,54,0.0,OK,0,54,54,0.0,OK
R02_FIXED_CACHE,LOEO-v1,R07_SINGLE_SURFACE_REFIT,native84,GREEDY_OR,OP05,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,SRC-111,LOEO-v1,R07_SINGLE_SURFACE_REFIT,3,0,"{""EMPTY_MODEL"": 3}","{""LOEO-v1-01"": 0, ""LOEO-v1-02"": 0, ""LOEO-v1-03"": 0}","{""LOEO-v1-01"": [], ""LOEO-v1-02"": [], ""LOEO-v1-03"": []}","[""r03-4e8db0d13d9d30932f529ff1"", ""r03-b787316a502ef7a0a8a0ec3b"", ""r03-a2563a27db70ee2e1e6fc5c7""]","[""expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__native84"", ""expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__native84"", ""expected_model_units.jsonl#R07_SINGLE_SURFACE_REFIT__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__native84""]",0.0,14,14,0.0,OK,162,162,162,1.0,OK,0,0,0,,NOT_EVALUABLE,0,54,54,0.0,OK,0,0,0,,NOT_EVALUABLE,0,108,108,0.0,OK,0,0,0,,NOT_EVALUABLE,0,0,0,,NOT_EVALUABLE,0,162,162,0.0,OK,0,54,54,0.0,OK,0,162,162,0.0,OK,0,54,54,0.0,OK,0,54,54,0.0,OK
R02_FIXED_CACHE,LOEO-v1,R05_PRIMARY,core,GREEDY_OR,OP05,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,SRC-111,LOEO-v1,SAVED_R05_CROSS_SURFACE_REFERENCE,0,3,"{""FITTED"": 3}","{""LOEO-v1-01"": 2, ""LOEO-v1-02"": 2, ""LOEO-v1-03"": 2}","{""LOEO-v1-01"": [{""literals"": [{""atom_id"": ""DEVIATION:OFFDER-UA-001"", ""polarity"": ""POSITIVE""}]}], ""LOEO-v1-02"": [{""literals"": [{""atom_id"": ""DEVIATION:OFFDER-UA-001"", ""polarity"": ""POSITIVE""}]}], ""LOEO-v1-03"": [{""literals"": [{""atom_id"": ""DEVIATION:OFFDER-UA-001"", ""polarity"": ""POSITIVE""}]}]}","[""r03-32440e7ea280302890a67a73"", ""r03-473f47463b00eb7aea74f493"", ""r03-016f41d7f421b218512d7262""]","[""reference_R05_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP05__SRC-111__core"", ""reference_R05_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP05__SRC-111__core"", ""reference_R05_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP05__SRC-111__core""]",6.0,14,14,0.42857142857142855,OK,0,162,162,0.0,OK,162,162,162,1.0,OK,24,54,54,0.4444444444444444,OK,162,162,162,1.0,OK,0,108,108,0.0,OK,24,24,24,1.0,OK,0,108,108,0.0,OK,162,162,162,1.0,OK,24,54,54,0.4444444444444444,OK,0,162,162,0.0,OK,0,54,54,0.0,OK,0,54,54,0.0,OK
